단속동,위반내용,경도,위도
광장동,교통소통장애,127.0992139,37.5521711
광장동,교통소통장애,127.0992139,37.5521711
광장동,교통소통장애,127.0992139,37.5521711
광장동,교통소통장애,127.0992139,37.5521711
광장동,교통소통장애,127.099815,37.5520585
광장동,교통소통장애,127.099815,37.5520585
광장동,교통소통장애,127.099815,37.5520585
광장동,교통소통장애,127.099229,37.5527929
광장동,교통소통장애,127.100056,37.551781
광장동,교통소통장애,127.100056,37.551781
광장동,교통소통장애,127.100056,37.551781
광장동,교통소통장애,127.100056,37.551781
광장동,교통소통장애,127.100056,37.551781
광장동,교통소통장애,127.100056,37.551781
광장동,교통소통장애,127.100056,37.551781
광장동,안전지대,127.100056,37.551781
광장동,안전지대,127.100056,37.551781
광장동,안전지대,127.100056,37.551781
광장동,교통소통장애,127.100056,37.551781
광장동,보도,127.1018378,37.5466586
광장동,보도,127.1018378,37.5466586
광장동,버스정류소,127.0986859,37.5405615
광장동,소화전,127.0995141,37.5394416
광장동,교통소통장애,127.0995141,37.5394416
광장동,교통소통장애,127.0995141,37.5394416
광장동,안전지대,127.0997785,37.5522745
광장동,교통소통장애,127.099815,37.5520585
광장동,안전지대,127.099815,37.5520585
광장동,교통소통장애,127.1015892,37.5419082
광장동,교통소통장애,127.1015892,37.5419082
광장동,교통소통장애,127.1015892,37.5419082
광장동,교통소통장애,127.1015892,37.5419082
광장동,교통소통장애,127.1015892,37.5419082
광장동,교통소통장애,127.1015892,37.5419082
광장동,교통소통장애,127.1015892,37.5419082
광장동,교통소통장애,127.1015892,37.5419082
광장동,교통소통장애,127.1015892,37.5419082
광장동,횡단보도,127.1024507,37.5436718
광장동,교통소통장애,127.0963452,37.5423007
광장동,버스정류소,127.0951496,37.5419762
광장동,교통소통장애,127.1045391,37.5459943
광장동,주차금지(황색점선)구역,127.1074495,37.5477194
광장동,주차금지(황색점선)구역,127.1045391,37.5459943
광장동,교통소통장애,127.1080356,37.5469669
광장동,소화전,127.1080356,37.5469669
광장동,주차금지(황색점선)구역,127.1054262,37.5465687
광장동,교통소통장애,127.1054825,37.5484884
광장동,교통소통장애,127.1054825,37.5484884
광장동,보도,127.1023399,37.5453649
광장동,교통소통장애,127.1074495,37.5477194
광장동,교통소통장애,127.0978319,37.5400685
광장동,교통소통장애,127.1074495,37.5477194
광장동,교통소통장애,127.1074612,37.5476834
광장동,보도,127.1042858,37.5444606
광장동,보도,127.1042858,37.5444606
광장동,소화전,127.0986859,37.5405615
광장동,보도,127.0972852,37.5412987
광장동,교통소통장애,127.1073919,37.5478
광장동,교통소통장애,127.0983248,37.5423609
광장동,도로 모퉁이,127.1012578,37.5431221
광장동,횡단보도,127.1110964,37.551288
광장동,교통소통장애,127.1074495,37.5477194
광장동,안전지대,127.1004405,37.5499278
광장동,보도,127.1031528,37.5436321
광장동,도로 모퉁이,127.0963452,37.5423007
광장동,교통소통장애,127.099815,37.5520585
광장동,교통소통장애,127.099815,37.5520585
광장동,교통소통장애,127.099815,37.5520585
광장동,교통소통장애,127.099815,37.5520585
광장동,교통소통장애,127.099815,37.5520585
광장동,교통소통장애,127.099815,37.5520585
광장동,교통소통장애,127.099815,37.5520585
광장동,교통소통장애,127.099815,37.5520585
광장동,안전지대,127.099815,37.5520585
광장동,안전지대,127.099815,37.5520585
광장동,안전지대,127.099815,37.5520585
광장동,교통소통장애,127.0986859,37.5405615
광장동,교통소통장애,127.0986859,37.5405615
광장동,교통소통장애,127.0986859,37.5405615
광장동,교통소통장애,127.0986859,37.5405615
광장동,교통소통장애,127.0978319,37.5400685
광장동,교통소통장애,127.0978319,37.5400685
광장동,교통소통장애,127.0978319,37.5400685
광장동,교통소통장애,127.0978319,37.5400685
광장동,교통소통장애,127.0978319,37.5400685
광장동,교통소통장애,127.0978319,37.5400685
광장동,교통소통장애,127.0978319,37.5400685
광장동,교통소통장애,127.0996281,37.5497234
광장동,교통소통장애,127.0996281,37.5497234
광장동,교통소통장애,127.0996281,37.5497234
광장동,교통소통장애,127.1021037,37.545246
광장동,교통소통장애,127.0996281,37.5497234
광장동,교통소통장애,127.0996281,37.5497234
광장동,교통소통장애,127.1000655,37.5500511
광장동,교통소통장애,127.1000655,37.5500511
광장동,교통소통장애,127.1000655,37.5500511
광장동,교통소통장애,127.1000655,37.5500511
광장동,교통소통장애,127.1000655,37.5500511
광장동,교통소통장애,127.1000655,37.5500511
광장동,교통소통장애,127.1000655,37.5500511
광장동,교통소통장애,127.1000655,37.5500511
광장동,교통소통장애,127.1000655,37.5500511
광장동,횡단보도,127.1053235,37.54664
광장동,교통소통장애,127.1053235,37.54664
광장동,교통소통장애,127.1049013,37.5469342
광장동,교통소통장애,127.1023494,37.5474014
광장동,보도,127.0972654,37.5542016
광장동,교차로,127.0968761,37.5405027
광장동,주차구획선외 주차,127.0255618,37.6397435
광장동,교통소통장애,127.0255618,37.6397435
광장동,보도,127.109199,37.5490571
광장동,보도,127.109199,37.5490571
광장동,보도,127.109199,37.5490571
광장동,보도,127.109199,37.5490571
광장동,도로 모퉁이,127.1039913,37.5473237
광장동,교통소통장애,127.1054825,37.5484884
광장동,교통소통장애,127.1054825,37.5484884
광장동,교통소통장애,127.0995141,37.5394416
광장동,보도,127.1088178,37.5487569
광장동,교통소통장애,127.1015892,37.5419082
광장동,교통소통장애,127.1060504,37.5473664
광장동,교통소통장애,127.1055258,37.5477048
광장동,교통소통장애,127.1054825,37.5484884
광장동,교통소통장애,127.1049013,37.5469342
광장동,건널목,127.1104344,37.5508054
광장동,도로 모퉁이,127.109199,37.5490571
광장동,교통소통장애,127.109199,37.5490571
광장동,교통소통장애,127.1090014,37.548542
광장동,교통소통장애,127.1049013,37.5469342
광장동,교통소통장애,127.1012862,37.5416987
광장동,교통소통장애,127.1012862,37.5416987
광장동,교통소통장애,127.0986859,37.5405615
광장동,보도,127.1084392,37.5491865
광장동,버스정류소,127.0952447,37.5425356
광장동,교통소통장애,127.0959888,37.5418294
광장동,교통소통장애,127.1075723,37.5478554
광장동,교통소통장애,127.1075723,37.5478554
광장동,교통소통장애,127.1075723,37.5478554
광장동,교통소통장애,127.1080356,37.5469669
광장동,소화전,127.1079995,37.5471468
광장동,교통소통장애,127.0967947,37.5425654
광장동,교통소통장애,127.0967947,37.5425654
광장동,교통소통장애,127.1110021,37.5516026
광장동,교통소통장애,127.1110021,37.5516026
광장동,교통소통장애,127.1100961,37.5507038
광장동,교통소통장애,127.1100961,37.5507038
광장동,교통소통장애,127.1059787,37.5476812
광장동,교통소통장애,127.1059787,37.5476812
광장동,건널목,127.1105227,37.5509953
광장동,교통소통장애,127.1094857,37.5487349
광장동,교통소통장애,127.1094857,37.5487349
광장동,교통소통장애,127.1055258,37.5477048
광장동,교통소통장애,127.1053673,37.5477126
광장동,보도,127.109199,37.5490571
광장동,주정차금지(황색실선)구역,127.1090014,37.548542
광장동,버스정류소,127.0952447,37.5425356
광장동,보도,127.1074495,37.5477194
광장동,교통소통장애,127.1071302,37.5479242
광장동,교통소통장애,127.1071302,37.5479242
광장동,교통소통장애,127.1071302,37.5479242
광장동,교통소통장애,127.1040136,37.5464048
광장동,교통소통장애,127.1040136,37.5464048
광장동,보도,127.1031528,37.5436321
광장동,소화전,127.0986859,37.5405615
광장동,소화전,127.0986859,37.5405615
광장동,안전지대,127.1005718,37.5521814
