단속동,위반내용,경도,위도
구의동,교통소통장애,127.0927055,37.5429035
구의동,횡단보도,127.0975349,37.5534377
구의동,교통소통장애,127.0957713,37.552343
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0905001,37.5390751
구의동,소화전,127.0892513,37.5496438
구의동,보도,127.0934234,37.5546407
구의동,도로 모퉁이,127.0947166,37.5553264
구의동,도로 모퉁이,127.0936252,37.5547954
구의동,보도,127.0936252,37.5547954
구의동,교통소통장애,127.099229,37.5527929
구의동,교통소통장애,127.099229,37.5527929
구의동,교통소통장애,127.0907897,37.5515659
구의동,보도,127.0861935,37.5442589
구의동,교통소통장애,127.0938519,37.5482285
구의동,교통소통장애,127.0938519,37.5482285
구의동,교통소통장애,127.0932462,37.5543149
구의동,교통소통장애,127.0920951,37.5531077
구의동,교통소통장애,127.0819774,37.5438658
구의동,교통소통장애,127.0905001,37.5390751
구의동,도로 모퉁이,127.0905001,37.5390751
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0905394,37.5516721
구의동,교통소통장애,127.0839109,37.5384475
구의동,교통소통장애,127.0838567,37.5382489
구의동,교통소통장애,127.0838567,37.5382489
구의동,교통소통장애,127.0913322,37.5516241
구의동,교통소통장애,127.0821224,37.5449572
구의동,특별구역,127.0821224,37.5449572
구의동,도로 모퉁이,127.0905237,37.5343358
구의동,교통소통장애,127.0905237,37.5343358
구의동,교통소통장애,127.0899084,37.5384128
구의동,주정차금지(황색실선)구역,127.0903022,37.538596
구의동,교통소통장애,127.0903022,37.538596
구의동,교통소통장애,127.0846883,37.5377958
구의동,교통소통장애,127.0846883,37.5377958
구의동,교통소통장애,127.0846883,37.5377958
구의동,교통소통장애,127.0846883,37.5377958
구의동,교통소통장애,127.0822385,37.5447238
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0851215,37.5440164
구의동,교통소통장애,127.0851215,37.5440164
구의동,교통소통장애,127.0964173,37.5363273
구의동,교통소통장애,127.097831,37.5373202
구의동,교통소통장애,127.097831,37.5373202
구의동,주정차금지(황색실선)구역,127.097831,37.5373202
구의동,주정차금지(황색실선)구역,127.097831,37.5373202
구의동,주정차금지(황색실선)구역,127.097831,37.5373202
구의동,소화전,127.0891099,37.5389473
구의동,교통소통장애,127.0898012,37.5388535
구의동,교통소통장애,127.0898012,37.5388535
구의동,주차금지(황색점선)구역,127.0926541,37.5536796
구의동,교통소통장애,127.0808204,37.5440911
구의동,교통소통장애,127.0808204,37.5440911
구의동,도로 모퉁이,127.0914543,37.5369019
구의동,교통소통장애,127.0918138,37.5361839
구의동,교통소통장애,127.0808204,37.5440911
구의동,교통소통장애,127.0820101,37.5448933
구의동,교통소통장애,127.0902499,37.5391813
구의동,도로 모퉁이,127.0899084,37.5384128
구의동,교통소통장애,127.0822385,37.5447238
구의동,교통소통장애,127.0902657,37.5360188
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0899084,37.5384128
구의동,소화전,127.0950225,37.5403263
구의동,교통소통장애,127.0822385,37.5447238
구의동,교통소통장애,127.0907642,37.5359595
구의동,교통소통장애,127.0911568,37.5511632
구의동,교통소통장애,127.0925026,37.5512366
구의동,교통소통장애,127.0945467,37.5403677
구의동,교통소통장애,127.0945467,37.5403677
구의동,특별구역,127.0822385,37.5447238
구의동,교통소통장애,127.0822385,37.5447238
구의동,도로 모퉁이,127.0822385,37.5447238
구의동,교통소통장애,127.0912072,37.5460727
구의동,주정차금지(황색실선)구역,127.092835,37.5480946
구의동,교통소통장애,127.0914543,37.5369019
구의동,교통소통장애,127.0904825,37.5367953
구의동,교통소통장애,127.0843843,37.5422987
구의동,교통소통장애,127.0899324,37.5476127
구의동,교통소통장애,127.0902588,37.5356493
구의동,도로 모퉁이,127.0902588,37.5356493
구의동,보도,127.0912976,37.5349004
구의동,교통소통장애,127.0842493,37.5376032
구의동,교통소통장애,127.0842493,37.5376032
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.094362,37.5500255
구의동,교통소통장애,127.0942519,37.5497724
구의동,교통소통장애,127.084512,37.5392541
구의동,교통소통장애,127.084512,37.5392541
구의동,교통소통장애,127.084512,37.5392541
구의동,교통소통장애,127.084512,37.5392541
구의동,교통소통장애,127.0878471,37.5478579
구의동,교통소통장애,127.0921083,37.5482872
구의동,보도,127.0852966,37.5445043
구의동,보도,127.0850616,37.5442862
구의동,교통소통장애,127.0828924,37.5421519
구의동,보도,127.0936615,37.538712
구의동,교통소통장애,127.0820851,37.5443082
구의동,교통소통장애,127.0820851,37.5443082
구의동,교통소통장애,127.0824399,37.5449056
구의동,교통소통장애,127.0824399,37.5449056
구의동,교통소통장애,127.0821224,37.5449572
구의동,교통소통장애,127.0821224,37.5449572
구의동,교통소통장애,127.0821224,37.5449572
구의동,도로 모퉁이,127.0891485,37.5469309
구의동,횡단보도,127.0891485,37.5469309
구의동,교통소통장애,127.0891485,37.5469309
구의동,교통소통장애,127.0891485,37.5469309
구의동,교통소통장애,127.0912072,37.5460727
구의동,교통소통장애,127.0847689,37.5376793
구의동,교통소통장애,127.0836714,37.5376708
구의동,교통소통장애,127.0820639,37.5441909
구의동,교통소통장애,127.0820639,37.5441909
구의동,교통소통장애,127.0808204,37.5440911
구의동,교통소통장애,127.0822385,37.5447238
구의동,교통소통장애,127.0822385,37.5447238
구의동,교통소통장애,127.0822385,37.5447238
구의동,교통소통장애,127.0822385,37.5447238
구의동,교통소통장애,127.092855,37.5529784
구의동,교통소통장애,127.0902299,37.5389649
구의동,교통소통장애,127.0902299,37.5389649
구의동,교통소통장애,127.0902299,37.5389649
구의동,안전지대,127.0936708,37.5332697
구의동,교통소통장애,127.0910711,37.5358448
구의동,교통소통장애,127.0961628,37.5367849
구의동,교통소통장애,127.0961628,37.5367849
구의동,횡단보도,127.0864067,37.5379172
구의동,도로 모퉁이,127.0864067,37.5379172
구의동,보도,127.0862086,37.5439527
구의동,교통소통장애,127.0862086,37.5439527
구의동,주정차금지(황색실선)구역,127.0853738,37.543739
구의동,교통소통장애,127.0942162,37.5377611
구의동,주차금지(황색점선)구역,127.0942162,37.5377611
구의동,이중주차,127.0847689,37.5376793
구의동,교통소통장애,127.0925026,37.5512366
구의동,도로 모퉁이,127.0950653,37.5545722
구의동,교통소통장애,127.0950653,37.5545722
구의동,교통소통장애,127.0972351,37.553895
구의동,교통소통장애,127.0972351,37.553895
구의동,교통소통장애,127.0972351,37.553895
구의동,교통소통장애,127.0848118,37.5387969
구의동,교통소통장애,127.0847976,37.5390311
구의동,교통소통장애,127.0857854,37.5489502
구의동,교통소통장애,127.0919062,37.5341662
구의동,교통소통장애,127.0937555,37.5487053
구의동,주차방법위반,127.0964173,37.5363273
구의동,주차방법위반,127.0906038,37.5361295
구의동,도로 모퉁이,127.0906038,37.5361295
구의동,교통소통장애,127.0900995,37.5459651
구의동,교통소통장애,127.0900995,37.5459651
구의동,교통소통장애,127.0822385,37.5447238
구의동,교통소통장애,127.0822385,37.5447238
구의동,횡단보도,127.0822385,37.5447238
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0932511,37.5398982
구의동,교통소통장애,127.097538,37.5372279
구의동,교통소통장애,127.0869759,37.5385614
구의동,횡단보도,127.0869759,37.5385614
구의동,교통소통장애,127.0869759,37.5385614
구의동,교통소통장애,127.0849993,37.5438262
구의동,횡단보도,127.0820162,37.5443887
구의동,교통소통장애,127.0822385,37.5447238
구의동,교통소통장애,127.0910215,37.538998
구의동,교통소통장애,127.0899004,37.5390705
구의동,소화전,127.0848396,37.5402298
구의동,교통소통장애,127.0815809,37.5438988
구의동,교통소통장애,127.0911454,37.5511631
구의동,교통소통장애,127.0948545,37.5392437
구의동,교통소통장애,127.0945792,37.5386199
구의동,교통소통장애,127.0903022,37.538596
구의동,교통소통장애,127.0899004,37.5390705
구의동,교통소통장애,127.0851392,37.5388625
구의동,교통소통장애,127.0851392,37.5388625
구의동,주차금지(황색점선)구역,127.0907471,37.5494841
구의동,교통소통장애,127.0895819,37.5466549
구의동,교통소통장애,127.0895819,37.5466549
구의동,도로 모퉁이,127.0883319,37.538716
구의동,도로 모퉁이,127.0883319,37.538716
구의동,교통소통장애,127.0820162,37.5443887
구의동,교통소통장애,127.0820162,37.5443887
구의동,교통소통장애,127.0820162,37.5443887
구의동,교통소통장애,127.0922126,37.5340875
구의동,교통소통장애,127.0922126,37.5340875
구의동,횡단보도,127.0914415,37.5342257
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0864067,37.5379172
구의동,도로 모퉁이,127.0864067,37.5379172
구의동,횡단보도,127.0864067,37.5379172
구의동,교통소통장애,127.0945467,37.5403677
구의동,교통소통장애,127.0838567,37.5382489
구의동,교통소통장애,127.0838567,37.5382489
구의동,횡단보도,127.0816188,37.5435747
구의동,교통소통장애,127.0816188,37.5435747
구의동,도로 모퉁이,127.0883418,37.5471949
구의동,소화전,127.087952,37.5466783
구의동,보도,127.0917221,37.5344171
구의동,교통소통장애,127.0899084,37.5384128
구의동,보도,127.0951297,37.554861
구의동,도로 모퉁이,127.0967518,37.553621
구의동,도로 모퉁이,127.0880276,37.5386145
구의동,도로 모퉁이,127.0847689,37.5376793
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0905805,37.5389766
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0913592,37.5391448
구의동,도로 모퉁이,127.0930689,37.552133
구의동,교통소통장애,127.0960281,37.5526333
구의동,교통소통장애,127.0958564,37.5527942
구의동,도로 모퉁이,127.0870167,37.5398592
구의동,교통소통장애,127.0852165,37.5436477
구의동,도로 모퉁이,127.0911124,37.5520189
구의동,교통소통장애,127.0849993,37.5438262
구의동,주정차금지(황색실선)구역,127.0900995,37.5459651
구의동,주차금지(황색점선)구역,127.0950653,37.5545722
구의동,교통소통장애,127.0910636,37.5364664
구의동,보도,127.0900995,37.5459651
구의동,교통소통장애,127.0895819,37.5466549
구의동,교통소통장애,127.0881166,37.5387414
구의동,도로 모퉁이,127.0881166,37.5387414
구의동,보도,127.0919062,37.5341662
구의동,주정차금지(황색실선)구역,127.0859389,37.5437974
구의동,도로 모퉁이,127.0956532,37.5405744
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0833983,37.5387229
구의동,교통소통장애,127.0833983,37.5387229
구의동,도로 모퉁이,127.0836027,37.5395895
구의동,주차금지(황색점선)구역,127.0939719,37.5542034
구의동,주차금지(황색점선)구역,127.0869762,37.5403995
구의동,교통소통장애,127.0938232,37.5375058
구의동,교통소통장애,127.0906002,37.5392201
구의동,교통소통장애,127.0902499,37.5391813
구의동,교통소통장애,127.0902714,37.5392716
구의동,교통소통장애,127.0910215,37.538998
구의동,교통소통장애,127.0931248,37.5391133
구의동,보도,127.0931248,37.5391133
구의동,안전지대,127.0946661,37.5351696
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0895736,37.5361666
구의동,버스정류소,127.0903717,37.5440569
구의동,교통소통장애,127.0901506,37.5389733
구의동,주차방법위반,127.0907642,37.5359595
구의동,도로 모퉁이,127.0820691,37.5446955
구의동,주차방법위반,127.0928607,37.5422379
구의동,도로 모퉁이,127.0891038,37.541308
구의동,교통소통장애,127.0998248,37.5531308
구의동,안전지대,127.0998248,37.5531308
구의동,보도,127.0895155,37.5390856
구의동,교통소통장애,127.0832238,37.5418842
구의동,교통소통장애,127.0964173,37.5363273
구의동,버스정류소,127.0946828,37.5356653
구의동,버스정류소,127.0946828,37.5356653
구의동,도로 모퉁이,127.0927055,37.5429035
구의동,횡단보도,127.0821224,37.5449572
구의동,도로 모퉁이,127.08903,37.5380726
구의동,교통소통장애,127.08903,37.5380726
구의동,교통소통장애,127.0817425,37.5445668
구의동,교통소통장애,127.0817425,37.5445668
구의동,교통소통장애,127.0817425,37.5445668
구의동,교통소통장애,127.0817425,37.5445668
구의동,교통소통장애,127.0819399,37.5441539
구의동,교통소통장애,127.0871841,37.5465463
구의동,교통소통장애,127.0964715,37.5365259
구의동,교통소통장애,127.0964715,37.5365259
구의동,교통소통장애,127.0957505,37.5512526
구의동,교통소통장애,127.0923071,37.5524245
구의동,보도,127.0912976,37.5349004
구의동,교통소통장애,127.0902821,37.5374606
구의동,교통소통장애,127.0902821,37.5374606
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0843843,37.5422987
구의동,횡단보도,127.0869759,37.5385614
구의동,보도,127.0916978,37.5373543
구의동,횡단보도,127.0869759,37.5385614
구의동,교통소통장애,127.0946693,37.5498837
구의동,보도,127.0922126,37.5340875
구의동,교통소통장애,127.0903022,37.538596
구의동,보도,127.092855,37.5529784
구의동,교통소통장애,127.0866327,37.537946
구의동,횡단보도,127.0866327,37.537946
구의동,교통소통장애,127.0866327,37.537946
구의동,교통소통장애,127.0918106,37.5420497
구의동,보도,127.0902028,37.5458487
구의동,교통소통장애,127.0869759,37.5385614
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0949055,37.5415778
구의동,교통소통장애,127.0899324,37.5476127
구의동,교통소통장애,127.0888171,37.5471986
구의동,교통소통장애,127.0905805,37.5389766
구의동,교통소통장애,127.0889261,37.5475418
구의동,교통소통장애,127.0930085,37.5543221
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0950919,37.5411378
구의동,소화전,127.0922884,37.5390348
구의동,소화전,127.0917854,37.5385264
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0899027,37.5388813
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0902299,37.5389649
구의동,교통소통장애,127.0902299,37.5389649
구의동,교통소통장애,127.0902299,37.5389649
구의동,교통소통장애,127.0910215,37.538998
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0902355,37.5515346
구의동,교통소통장애,127.0907897,37.5515659
구의동,교통소통장애,127.0947518,37.539315
구의동,교통소통장애,127.0948545,37.5392437
구의동,교통소통장애,127.0948545,37.5392437
구의동,교통소통장애,127.0903983,37.5493192
구의동,교통소통장애,127.0902028,37.5458487
구의동,교통소통장애,127.0902028,37.5458487
구의동,횡단보도,127.0864067,37.5379172
구의동,횡단보도,127.0866327,37.537946
구의동,교통소통장애,127.092384,37.5386211
구의동,교통소통장애,127.0928827,37.5385528
구의동,교통소통장애,127.092473,37.5387479
구의동,교통소통장애,127.092473,37.5387479
구의동,교통소통장애,127.0923684,37.5380353
구의동,교통소통장애,127.0923684,37.5380353
구의동,보도,127.0888145,37.5483429
구의동,도로 모퉁이,127.0934122,37.5499551
구의동,도로 모퉁이,127.0934122,37.5499551
구의동,교통소통장애,127.0929287,37.5431575
구의동,교통소통장애,127.0932862,37.5538197
구의동,보도,127.091646,37.5350923
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0905805,37.5389766
구의동,교통소통장애,127.097831,37.5373202
구의동,교통소통장애,127.097831,37.5373202
구의동,교통소통장애,127.097831,37.5373202
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.097831,37.5373202
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0938232,37.5375058
구의동,교통소통장애,127.0938232,37.5375058
구의동,교통소통장애,127.0918332,37.5336521
구의동,교통소통장애,127.0922884,37.5390348
구의동,교통소통장애,127.0922884,37.5390348
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0936708,37.5332697
구의동,교통소통장애,127.097831,37.5373202
구의동,도로 모퉁이,127.0959408,37.5504881
구의동,교통소통장애,127.097538,37.5372279
구의동,교통소통장애,127.0838567,37.5382489
구의동,교통소통장애,127.0839109,37.5384475
구의동,보도,127.0929316,37.5494559
구의동,교통소통장애,127.0964173,37.5363273
구의동,교통소통장애,127.0916526,37.5438776
구의동,교통소통장애,127.0918936,37.5436001
구의동,도로 모퉁이,127.0936546,37.5514347
구의동,교통소통장애,127.0955175,37.5499262
구의동,도로 모퉁이,127.0907832,37.5511694
구의동,교통소통장애,127.0822052,37.538209
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.097831,37.5373202
구의동,교통소통장애,127.097831,37.5373202
구의동,안전지대,127.0936708,37.5332697
구의동,도로 모퉁이,127.0869759,37.5385614
구의동,도로 모퉁이,127.0869759,37.5385614
구의동,도로 모퉁이,127.0869759,37.5385614
구의동,도로 모퉁이,127.0938798,37.5515266
구의동,주차금지(황색점선)구역,127.0923971,37.5431354
구의동,교통소통장애,127.0902028,37.5458487
구의동,교통소통장애,127.0830029,37.5432881
구의동,교통소통장애,127.0825138,37.5434915
구의동,소화전,127.0824439,37.5436622
구의동,교통소통장애,127.0832526,37.543227
구의동,교통소통장애,127.0910215,37.538998
구의동,교통소통장애,127.0905001,37.5390751
구의동,도로 모퉁이,127.0905237,37.5343358
구의동,교통소통장애,127.0911894,37.5344941
구의동,교통소통장애,127.0823864,37.5446529
구의동,교통소통장애,127.0822385,37.5447238
구의동,교통소통장애,127.086581,37.5440367
구의동,도로 모퉁이,127.0862086,37.5439527
구의동,도로 모퉁이,127.0862086,37.5439527
구의동,교통소통장애,127.0906002,37.5392201
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0906002,37.5392201
구의동,교통소통장애,127.0906002,37.5392201
구의동,교통소통장애,127.0899084,37.5384128
구의동,보도,127.0936373,37.5537953
구의동,보도,127.0921865,37.549306
구의동,교통소통장애,127.0851215,37.5440164
구의동,보도,127.0917221,37.5344171
구의동,교통소통장애,127.0851215,37.5440164
구의동,교통소통장애,127.0945467,37.5403677
구의동,교통소통장애,127.0899084,37.5384128
구의동,도로 모퉁이,127.0910693,37.5527754
구의동,교통소통장애,127.0921096,37.5416555
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.097831,37.5373202
구의동,보도,127.094166,37.5540607
구의동,주차방법위반,127.0898858,37.5467924
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0905805,37.5389766
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0964715,37.5365259
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0957117,37.5357272
구의동,버스정류소,127.0969983,37.5378815
구의동,버스정류소,127.0969983,37.5378815
구의동,교통소통장애,127.0902299,37.5389649
구의동,교통소통장애,127.0821224,37.5449572
구의동,교통소통장애,127.0952011,37.5545732
구의동,교통소통장애,127.0953595,37.5545744
구의동,교통소통장애,127.091811,37.5364181
구의동,도로 모퉁이,127.0950919,37.5411378
구의동,보도,127.0910215,37.538998
구의동,교차로,127.0951277,37.5409849
구의동,교통소통장애,127.0964173,37.5363273
구의동,교통소통장애,127.0964173,37.5363273
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0903022,37.538596
구의동,교통소통장애,127.0847689,37.5376793
구의동,교통소통장애,127.0961628,37.5367849
구의동,교통소통장애,127.0961628,37.5367849
구의동,교통소통장애,127.0899084,37.5384128
구의동,보도,127.0922126,37.5340875
구의동,교통소통장애,127.0905001,37.5390751
구의동,교통소통장애,127.0910215,37.538998
구의동,교통소통장애,127.0935921,37.553795
구의동,교통소통장애,127.0831928,37.5416407
구의동,교통소통장애,127.0831928,37.5416407
구의동,교통소통장애,127.083468,37.5413455
구의동,교통소통장애,127.0832238,37.5418842
구의동,도로 모퉁이,127.0967518,37.553621
구의동,횡단보도,127.0967518,37.553621
구의동,도로 모퉁이,127.0967518,37.553621
구의동,특별구역,127.0873135,37.548926
구의동,특별구역,127.0870088,37.5488606
구의동,교통소통장애,127.0896791,37.5405195
구의동,교통소통장애,127.0947518,37.539315
구의동,교통소통장애,127.0947518,37.539315
구의동,교통소통장애,127.0947518,37.539315
구의동,교통소통장애,127.0948545,37.5392437
구의동,교통소통장애,127.0897201,37.5390151
구의동,교통소통장애,127.0900119,37.5392065
구의동,교통소통장애,127.0901035,37.5391171
구의동,교통소통장애,127.0900119,37.5392065
구의동,교통소통장애,127.0902499,37.5391813
구의동,교통소통장애,127.0904308,37.5391917
구의동,교통소통장애,127.0906002,37.5392201
구의동,도로 모퉁이,127.0951277,37.5409849
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0957117,37.5357272
구의동,보도,127.0851215,37.5440164
구의동,교통소통장애,127.0967518,37.553621
구의동,교통소통장애,127.0904919,37.5518609
구의동,교통소통장애,127.0957117,37.5357272
구의동,교통소통장애,127.0898012,37.5388535
구의동,교통소통장애,127.0898012,37.5388535
구의동,안전지대,127.0936708,37.5332697
구의동,안전지대,127.0936708,37.5332697
구의동,교통소통장애,127.0961628,37.5367849
구의동,보도,127.0917221,37.5344171
구의동,교통소통장애,127.0897201,37.5390151
구의동,교통소통장애,127.0899004,37.5390705
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.0904308,37.5391917
구의동,도로 모퉁이,127.0927341,37.5433453
구의동,교통소통장애,127.0964715,37.5365259
구의동,교통소통장애,127.0964715,37.5365259
구의동,교통소통장애,127.0934686,37.5415578
구의동,교통소통장애,127.0927973,37.5427961
구의동,교통소통장애,127.0967518,37.553621
구의동,교통소통장애,127.0914911,37.5366679
구의동,교통소통장애,127.0914911,37.5366679
구의동,교통소통장애,127.0914543,37.5369019
구의동,교통소통장애,127.0910636,37.5364664
구의동,안전지대,127.0936708,37.5332697
구의동,안전지대,127.0934197,37.533448
구의동,도로 모퉁이,127.0927068,37.5325235
구의동,교통소통장애,127.0899084,37.5384128
구의동,교통소통장애,127.097206,37.5534983
구의동,교통소통장애,127.0967518,37.553621
구의동,교통소통장애,127.097206,37.5534983
구의동,교통소통장애,127.0967518,37.553621
