단속동,위반내용,경도,위도
군자동,교통소통장애,127.0757603,37.5533954
군자동,교통소통장애,127.0761459,37.5524163
군자동,교통소통장애,127.0761459,37.5524163
군자동,보도,127.0786316,37.5573464
군자동,보도,127.0786316,37.5573464
군자동,보도,127.0777927,37.5546998
군자동,보도,127.0763752,37.5567611
군자동,보도,127.0765061,37.5571586
군자동,소화전,127.0761459,37.5524163
군자동,보도,127.0776105,37.5575457
군자동,보도,127.0765061,37.5571586
군자동,보도,127.0711764,37.5543326
군자동,교통소통장애,127.0706374,37.5512558
군자동,보도,127.0758493,37.5562705
군자동,주차방법위반,127.0761459,37.5524163
군자동,보도,127.0772122,37.5531365
군자동,도로 모퉁이,127.0695782,37.549968
군자동,교통소통장애,127.0702518,37.5513158
군자동,횡단보도,127.0753384,37.5545635
군자동,보도,127.075525,37.5550335
군자동,교통소통장애,127.0761459,37.5524163
군자동,도로 모퉁이,127.0761459,37.5524163
군자동,도로 모퉁이,127.0761459,37.5524163
군자동,보도,127.07702,37.5577033
군자동,보도,127.0772733,37.5555247
군자동,교통소통장애,127.0772227,37.5550378
군자동,교통소통장애,127.073277,37.5519523
군자동,보도,127.073277,37.5519523
군자동,보도,127.073277,37.5519523
군자동,교통소통장애,127.0706374,37.5512558
군자동,교통소통장애,127.0702518,37.5513158
군자동,도로 모퉁이,127.0733756,37.5540435
군자동,보도,127.0770829,37.5553611
군자동,보도,127.0780063,37.5566568
군자동,교통소통장애,127.0761634,37.5528309
군자동,교통소통장애,127.0764236,37.552842
군자동,교통소통장애,127.0762288,37.5521196
군자동,보도,127.0764444,37.5520672
군자동,도로 모퉁이,127.0752791,37.5575365
군자동,교통소통장애,127.0748772,37.5580019
군자동,교통소통장애,127.0752791,37.5575365
군자동,보도,127.0750476,37.5542909
군자동,도로 모퉁이,127.0763108,37.5528051
군자동,교통소통장애,127.0759011,37.5511619
군자동,교통소통장애,127.0759011,37.5511619
군자동,교통소통장애,127.0759011,37.5511619
군자동,교통소통장애,127.0733945,37.554341
군자동,교통소통장애,127.0749014,37.5578759
군자동,이면도로주차,127.0780044,37.5568099
군자동,주차금지(황색점선)구역,127.0758675,37.5529638
군자동,교통소통장애,127.0755893,37.5544123
군자동,교통소통장애,127.07428,37.5532126
군자동,도로 모퉁이,127.0761634,37.5528309
군자동,보도,127.0765061,37.5571586
군자동,보도,127.0708529,37.5512124
군자동,특별구역,127.0710583,37.5492588
군자동,특별구역,127.0714206,37.5510637
군자동,교통소통장애,127.0764236,37.552842
군자동,교통소통장애,127.0750476,37.5542909
군자동,보도,127.0756092,37.5555478
군자동,교통소통장애,127.0756092,37.5555478
군자동,교차로,127.0726707,37.5533892
군자동,교통소통장애,127.0726707,37.5533892
군자동,교통소통장애,127.0732751,37.5539346
군자동,교통소통장애,127.0726707,37.5533892
군자동,도로 모퉁이,127.0764236,37.552842
군자동,교통소통장애,127.0780063,37.5566568
군자동,교통소통장애,127.0755893,37.5544123
군자동,보도,127.070573,37.5491468
군자동,주차금지(황색점선)구역,127.0761634,37.5528309
군자동,주차금지(황색점선)구역,127.0726707,37.5533892
