단속동,위반내용,경도,위도
능동,도로 모퉁이,127.0882343,37.552303
능동,주차금지(황색점선)구역,127.0833504,37.5537249
능동,교통소통장애,127.0837496,37.5543948
능동,도로 모퉁이,127.0841109,37.5544697
능동,보도,127.0797121,37.5569224
능동,보도,127.0780245,37.5542601
능동,보도,127.0780245,37.5542601
능동,보도,127.0780245,37.5542601
능동,교통소통장애,127.0857771,37.5524102
능동,보도,127.0768863,37.5529447
능동,보도,127.0792548,37.5572882
능동,교통소통장애,127.0838049,37.5545033
능동,교통소통장애,127.0863642,37.5534509
능동,교통소통장애,127.084125,37.5533165
능동,교통소통장애,127.0878717,37.5523453
능동,교통소통장애,127.0881208,37.5523292
능동,보도,127.0797121,37.5569224
능동,도로 모퉁이,127.0841109,37.5544697
능동,보도,127.078999,37.5569258
능동,보도,127.0780245,37.5542601
능동,보도,127.0791027,37.5558544
능동,보도,127.0777266,37.5545551
능동,보도,127.0775651,37.552968
능동,교통소통장애,127.081468,37.5549447
능동,교통소통장애,127.0869362,37.5529508
능동,교통소통장애,127.0882343,37.552303
능동,보도,127.0813951,37.5562777
능동,도로 모퉁이,127.0810543,37.5526889
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0881208,37.5523292
능동,교통소통장애,127.0881208,37.5523292
능동,교통소통장애,127.0799536,37.5556898
능동,소방기계 비치장소,127.079989,37.5528067
능동,교통소통장애,127.0869362,37.5529508
능동,교통소통장애,127.0869362,37.5529508
능동,교통소통장애,127.0869362,37.5529508
능동,도로 모퉁이,127.0840431,37.5544601
능동,교통소통장애,127.0881208,37.5523292
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0793475,37.5534325
능동,보도,127.0780079,37.5537734
능동,교통소통장애,127.0881208,37.5523292
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0881208,37.5523292
능동,보도,127.0792548,37.5572882
능동,보도,127.0792548,37.5572882
능동,교통소통장애,127.07906,37.5547277
능동,교통소통장애,127.0881208,37.5523292
능동,보도,127.0793129,37.5562525
능동,보도,127.0797121,37.5569224
능동,교통소통장애,127.0796468,37.5557865
능동,보도,127.0863431,37.5542527
능동,교통소통장애,127.0791248,37.5549805
능동,보도,127.0778963,37.5536464
능동,도로 모퉁이,127.0791248,37.5549805
능동,교통소통장애,127.0793853,37.5549645
능동,교통소통장애,127.0793853,37.5549645
능동,보도,127.0797121,37.5569224
능동,도로 모퉁이,127.0796117,37.5577235
능동,보도,127.0792548,37.5572882
능동,보도,127.0791027,37.5558544
능동,보도,127.0792548,37.5572882
능동,교통소통장애,127.0881208,37.5523292
능동,교통소통장애,127.0882343,37.552303
능동,보도,127.0849115,37.5547102
능동,보도,127.0780245,37.5542601
능동,보도,127.0797121,37.5569224
능동,교통소통장애,127.0881208,37.5523292
능동,교통소통장애,127.0870309,37.5526091
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0818804,37.54901
능동,교통소통장애,127.0849666,37.5520525
능동,교통소통장애,127.0881208,37.5523292
능동,교통소통장애,127.0881208,37.5523292
능동,도로 모퉁이,127.0787136,37.5552837
능동,교통소통장애,127.083005,37.5551279
능동,도로 모퉁이,127.0791248,37.5549805
능동,교통소통장애,127.0790139,37.5538714
능동,교통소통장애,127.0869362,37.5529508
능동,도로 모퉁이,127.0876941,37.5529837
능동,교통소통장애,127.0792548,37.5572882
능동,도로 모퉁이,127.0792548,37.5572882
능동,교통소통장애,127.0798999,37.5554551
능동,교통소통장애,127.0881208,37.5523292
능동,교통소통장애,127.0882896,37.5524116
능동,보도,127.0863431,37.5542527
능동,보도,127.0821634,37.5453089
능동,교통소통장애,127.0815454,37.5560176
능동,보도,127.0780245,37.5542601
능동,교통소통장애,127.0818804,37.54901
능동,교통소통장애,127.0818804,37.54901
능동,교통소통장애,127.0792548,37.5572882
능동,보도,127.0780245,37.5542601
능동,교통소통장애,127.0869362,37.5529508
능동,교통소통장애,127.0881208,37.5523292
능동,교통소통장애,127.0866452,37.5517591
능동,보도,127.0791027,37.5558544
능동,교통소통장애,127.0866452,37.5517591
능동,도로 모퉁이,127.081468,37.5549447
능동,보도,127.0797121,37.5569224
능동,도로 모퉁이,127.081468,37.5549447
능동,보도,127.0780245,37.5542601
능동,보도,127.0793129,37.5562525
능동,보도,127.0797121,37.5569224
능동,교통소통장애,127.0828835,37.5548836
능동,보도,127.0796213,37.5578587
능동,교통소통장애,127.0881208,37.5523292
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0882343,37.552303
능동,보도,127.0833315,37.5552656
능동,보도,127.0789711,37.55643
능동,보도,127.0792137,37.5560355
능동,보도,127.0780245,37.5542601
능동,보도,127.0780245,37.5542601
능동,보도,127.081528,37.556513
능동,보도,127.0780079,37.5537734
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0881208,37.5523292
능동,도로 모퉁이,127.0803671,37.5533503
능동,교통소통장애,127.0803917,37.5531973
능동,도로 모퉁이,127.0803917,37.5531973
능동,교통소통장애,127.0803671,37.5533503
능동,보도,127.0813951,37.5562777
능동,보도,127.0863431,37.5542527
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0818804,37.54901
능동,주차구획선외 주차,127.0882343,37.552303
능동,도로 모퉁이,127.0850517,37.5534228
능동,보도,127.0813951,37.5562777
능동,교통소통장애,127.0869362,37.5529508
능동,교통소통장애,127.0881208,37.5523292
능동,교통소통장애,127.0881208,37.5523292
능동,교통소통장애,127.0881208,37.5523292
능동,소방기계 비치장소,127.0799778,37.5527976
능동,도로 모퉁이,127.0876777,37.553398
능동,보도,127.0791027,37.5558544
능동,보도,127.0793129,37.5562525
능동,교통소통장애,127.0770153,37.5516662
능동,교통소통장애,127.0882671,37.5524024
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0878717,37.5523453
능동,교통소통장애,127.0721249,37.5481138
능동,교통소통장애,127.0721249,37.5481138
능동,보도,127.0778963,37.5536464
능동,교통소통장애,127.0841109,37.5544697
능동,교통소통장애,127.084125,37.5533165
능동,보도,127.0797121,37.5569224
능동,보도,127.0863431,37.5542527
능동,보도,127.0863431,37.5542527
능동,도로 모퉁이,127.0804843,37.5530269
능동,보도,127.0786814,37.5551393
능동,교통소통장애,127.0798175,37.5529496
능동,보도,127.0797121,37.5569224
능동,교통소통장애,127.0882343,37.552303
능동,보도,127.0797143,37.5567422
능동,교통소통장애,127.0881208,37.5523292
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0770153,37.5516662
능동,도로 모퉁이,127.0791248,37.5549805
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0882343,37.552303
능동,보도,127.0797143,37.5567422
능동,교통소통장애,127.083328,37.5537067
능동,도로 모퉁이,127.0781889,37.5528558
능동,교통소통장애,127.0794315,37.5558119
능동,보도,127.0788601,37.556258
능동,보도,127.0791027,37.5558544
능동,주차구획선외 주차,127.0881208,37.5523292
능동,주차구획선외 주차,127.0881208,37.5523292
능동,주차구획선외 주차,127.0881208,37.5523292
능동,교통소통장애,127.088136,37.552942
능동,보도,127.0787136,37.5552837
능동,도로 모퉁이,127.0794778,37.553884
능동,보도,127.0805293,37.5567305
능동,도로 모퉁이,127.0869362,37.5529508
능동,보도,127.0797121,37.5569224
능동,교통소통장애,127.0783783,37.5540196
능동,보도,127.0797121,37.5569224
능동,교통소통장애,127.0879732,37.5523731
능동,보도,127.0813951,37.5562777
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0881208,37.5523292
능동,교통소통장애,127.0869362,37.5529508
능동,도로 모퉁이,127.0878656,37.5528408
능동,도로 모퉁이,127.0850517,37.5534228
능동,교통소통장애,127.0881862,37.5525369
능동,교통소통장애,127.0815605,37.5547833
능동,교통소통장애,127.0882896,37.5524116
능동,교통소통장애,127.0818804,37.54901
능동,교통소통장애,127.0883477,37.5522859
능동,교통소통장애,127.0780245,37.5542601
능동,교통소통장애,127.0773749,37.5518673
능동,교통소통장애,127.0818804,37.54901
능동,교통소통장애,127.0818804,37.54901
능동,교통소통장애,127.0781889,37.5528558
능동,교통소통장애,127.0781889,37.5528558
능동,보도,127.0783279,37.5544337
능동,교통소통장애,127.0798175,37.5529496
능동,보도,127.0797121,37.5569224
능동,교통소통장애,127.0798175,37.5529496
능동,교통소통장애,127.0794315,37.5558119
능동,도로 모퉁이,127.0869362,37.5529508
능동,교통소통장애,127.0869362,37.5529508
능동,보도,127.0792548,37.5572882
능동,보도,127.0813951,37.5562777
능동,보도,127.0863431,37.5542527
능동,교통소통장애,127.088087,37.5523199
능동,교통소통장애,127.088087,37.5523199
능동,교통소통장애,127.088087,37.5523199
능동,주차구획선외 주차,127.0818804,37.54901
능동,교통소통장애,127.0850517,37.5534228
능동,교통소통장애,127.0818804,37.54901
능동,교통소통장애,127.0818804,37.54901
능동,교통소통장애,127.0818804,37.54901
능동,이중주차,127.0818804,37.54901
능동,교통소통장애,127.0818804,37.54901
능동,보도,127.0791027,37.5558544
능동,교통소통장애,127.0869362,37.5529508
능동,교통소통장애,127.0869362,37.5529508
능동,교통소통장애,127.0869362,37.5529508
능동,도로 모퉁이,127.0869362,37.5529508
능동,도로 모퉁이,127.0880211,37.5530853
능동,도로 모퉁이,127.0850517,37.5534228
능동,보도,127.0837296,37.5551065
능동,주차방법위반,127.0798772,37.5554549
능동,보도,127.0791027,37.5558544
능동,보도,127.0849115,37.5547102
능동,보도,127.0813951,37.5562777
능동,교통소통장애,127.0879827,37.5525174
능동,교통소통장애,127.0791248,37.5549805
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0882343,37.552303
능동,보도,127.0833315,37.5552656
능동,도로 모퉁이,127.0783014,37.5519917
능동,도로 모퉁이,127.0783014,37.5519917
능동,보도,127.0783279,37.5544337
능동,교통소통장애,127.0888895,37.5524072
능동,교통소통장애,127.0888895,37.5524072
능동,교통소통장애,127.0869362,37.5529508
능동,교통소통장애,127.0803917,37.5531973
능동,교통소통장애,127.0803917,37.5531973
능동,교통소통장애,127.080356,37.5533322
능동,보도,127.0884621,37.5531157
능동,보도,127.0797143,37.5567422
능동,보도,127.0884621,37.5531157
능동,보도,127.0797143,37.5567422
능동,교통소통장애,127.0818804,37.54901
능동,교통소통장애,127.0825096,37.5549168
능동,주차구획선외 주차,127.0882343,37.552303
능동,주차구획선외 주차,127.0882343,37.552303
능동,주차구획선외 주차,127.0882343,37.552303
능동,주차구획선외 주차,127.0882343,37.552303
능동,보도,127.0787136,37.5552837
능동,보도,127.0788135,37.5554467
능동,보도,127.0837296,37.5551065
능동,교통소통장애,127.0791248,37.5549805
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0882343,37.552303
능동,보도,127.0837296,37.5551065
능동,보도,127.0837296,37.5551065
능동,소방기계 비치장소,127.0797418,37.5526607
능동,교통소통장애,127.079343,37.55564
능동,교통소통장애,127.0818804,37.54901
능동,보도,127.0750723,37.5486235
능동,보도,127.0884621,37.5531157
능동,보도,127.0797034,37.556706
능동,보도,127.0774062,37.5539219
능동,교통소통장애,127.081468,37.5549447
능동,주차방법위반,127.0875167,37.5499007
능동,교통소통장애,127.0882343,37.552303
능동,보도,127.0797034,37.556706
능동,주차금지(황색점선)구역,126.9778779,37.5664106
능동,보도,127.0737245,37.5514603
능동,보도,127.0780079,37.5537734
능동,보도,127.0782062,37.5542075
능동,교통소통장애,127.0882343,37.552303
능동,교통소통장애,127.0818804,37.54901
능동,교통소통장애,127.0814962,37.548962
능동,도로 모퉁이,127.0865529,37.5537588
능동,보도,127.0797143,37.5567422
능동,보도,127.0791027,37.5558544
능동,보도,127.0803738,37.556495
능동,보도,127.0780245,37.5542601
능동,주차구획선외 주차,127.0882343,37.552303
능동,보도,127.0797121,37.5569224
능동,교통소통장애,127.0818804,37.54901
능동,교통소통장애,127.0882343,37.552303
능동,주차금지(황색점선)구역,126.9778779,37.5664106
능동,교통소통장애,127.0815884,37.55436
능동,교통소통장애,127.081395,37.5544396
능동,교통소통장애,127.0812584,37.5545016
능동,교통소통장애,127.0812584,37.5545016
능동,보도,127.0864023,37.5540459
능동,교통소통장애,127.081468,37.5549447
능동,보도,127.0792548,37.5572882
능동,보도,127.0863431,37.5542527
능동,보도,127.0863431,37.5542527
능동,교통소통장애,127.0872308,37.5612787
능동,교통소통장애,127.084125,37.5533165
능동,교통소통장애,127.0843053,37.5533809
능동,교통소통장애,127.0843053,37.5533809
능동,교통소통장애,127.0830436,37.5538217
능동,교통소통장애,127.0825776,37.5539892
능동,도로 모퉁이,127.0824126,37.5536005
능동,교통소통장애,127.0820655,37.5542105
능동,교통소통장애,127.081076,37.5546083
능동,보도,127.0881542,37.5533026
능동,보도,127.0881542,37.5533026
능동,주차구획선외 주차,127.0881208,37.5523292
능동,보도,127.0750723,37.5486235
능동,보도,127.0797121,37.5569224
능동,주차금지(황색점선)구역,127.0798999,37.5554551
능동,교통소통장애,127.084125,37.5533165
능동,교통소통장애,127.084125,37.5533165
능동,교통소통장애,127.0824126,37.5536005
능동,교통소통장애,127.0824126,37.5536005
능동,교통소통장애,127.0824126,37.5536005
능동,교통소통장애,127.0824126,37.5536005
능동,교통소통장애,127.081468,37.5549447
능동,보도,127.0754821,37.5493476
능동,보도,127.0813951,37.5562777
능동,교통소통장애,127.0854207,37.552867
능동,교통소통장애,127.0849315,37.5530794
능동,교통소통장애,127.0824527,37.5540153
능동,도로 모퉁이,127.0792395,37.5557744
능동,교통소통장애,127.0869362,37.5529508
능동,보도,127.0797121,37.5569224
