단속동,위반내용,경도,위도
자양동,교통소통장애,127.0618002,37.535778
자양동,도로 모퉁이,127.0747055,37.5306898
자양동,교통소통장애,127.0618487,37.5355171
자양동,교통소통장애,127.0671742,37.5403619
자양동,교통소통장애,127.0665159,37.5405279
자양동,교통소통장애,127.0665159,37.5405279
자양동,교통소통장애,127.077276,37.534188
자양동,교통소통장애,127.077276,37.534188
자양동,도로 모퉁이,127.0662034,37.5329206
자양동,교통소통장애,127.0636395,37.5397933
자양동,교통소통장애,127.063301,37.5397185
자양동,도로 모퉁이,127.0668061,37.5335831
자양동,도로 모퉁이,127.0842357,37.5313137
자양동,교통소통장애,127.0830278,37.5412609
자양동,교통소통장애,127.0830278,37.5412609
자양동,보도,127.076668,37.5357781
자양동,보도,127.076668,37.5357781
자양동,교통소통장애,127.0663955,37.5329401
자양동,도로 모퉁이,127.0852407,37.5305466
자양동,교통소통장애,127.0642835,37.5362573
자양동,교통소통장애,127.0662034,37.5329206
자양동,교통소통장애,127.0754194,37.5351826
자양동,교통소통장애,127.0752146,37.5343611
자양동,보도,127.0799404,37.5328211
자양동,보도,127.0829309,37.5288437
자양동,보도,127.0826586,37.5289047
자양동,교차로,127.0638982,37.532677
자양동,보도,127.0842595,37.5358462
자양동,보도,127.0840069,37.5361506
자양동,교통소통장애,127.067284,37.5388129
자양동,교통소통장애,127.0668875,37.5397649
자양동,교통소통장애,127.0668875,37.5397649
자양동,교통소통장애,127.0668875,37.5397649
자양동,주정차금지(황색실선)구역,127.0670857,37.5356577
자양동,도로 모퉁이,127.0852407,37.5305466
자양동,보도,127.0841363,37.5320428
자양동,보도,127.0841363,37.5320428
자양동,교통소통장애,127.0722071,37.530526
자양동,교통소통장애,127.0717094,37.5305131
자양동,교통소통장애,127.0819575,37.5353327
자양동,교통소통장애,127.0850252,37.5315181
자양동,교통소통장애,127.0850252,37.5315181
자양동,교통소통장애,127.0839541,37.5312124
자양동,교통소통장애,127.0638237,37.5332081
자양동,교통소통장애,127.0638237,37.5332081
자양동,교통소통장애,127.0623082,37.53316
자양동,교통소통장애,127.0623082,37.53316
자양동,교통소통장애,127.0618047,37.5354176
자양동,교통소통장애,127.0821172,37.5352349
자양동,교통소통장애,127.0819575,37.5353327
자양동,교통소통장애,127.0814537,37.5385906
자양동,도로 모퉁이,127.0864609,37.5316193
자양동,교통소통장애,127.0679114,37.5365923
자양동,교통소통장애,127.0679114,37.5365923
자양동,교통소통장애,127.0679114,37.5365923
자양동,안전지대,127.0683841,37.5349742
자양동,교통소통장애,127.0664753,37.5410592
자양동,교통소통장애,127.0664753,37.5410592
자양동,교통소통장애,127.0671742,37.5403619
자양동,교통소통장애,127.0671742,37.5403619
자양동,교통소통장애,127.0670857,37.5356577
자양동,보도,127.0829309,37.5288437
자양동,보도,127.0848693,37.5322377
자양동,교통소통장애,127.0638237,37.5332081
자양동,교통소통장애,127.0638237,37.5332081
자양동,교통소통장애,127.0618047,37.5354176
자양동,교통소통장애,127.0618047,37.5354176
자양동,교통소통장애,127.0670857,37.5356577
자양동,교통소통장애,127.0692273,37.5381435
자양동,교통소통장애,127.0692273,37.5381435
자양동,교통소통장애,127.0692331,37.538585
자양동,교통소통장애,127.0692331,37.538585
자양동,교통소통장애,127.0691023,37.5381875
자양동,교통소통장애,127.0691456,37.5383411
자양동,도로 모퉁이,127.0722207,37.5321661
자양동,도로 모퉁이,127.0617003,37.5329119
자양동,교통소통장애,127.0884909,37.5526114
자양동,교차로,127.0617003,37.5329119
자양동,도로 모퉁이,127.084092,37.5319614
자양동,안전지대,127.0683841,37.5349742
자양동,안전지대,127.0683841,37.5349742
자양동,횡단보도,127.0819039,37.53417
자양동,교통소통장애,127.0670857,37.5356577
자양동,교통소통장애,127.0670857,37.5356577
자양동,교통소통장애,127.072367,37.5304011
자양동,교통소통장애,127.0671485,37.5333425
자양동,교통소통장애,127.0777119,37.5291095
자양동,주정차금지(황색실선)구역,127.0751121,37.5344143
자양동,교통소통장애,127.0754194,37.5351826
자양동,교통소통장애,127.0617003,37.5329119
자양동,도로 모퉁이,127.0617003,37.5329119
자양동,교통소통장애,127.0617003,37.5329119
자양동,주차금지(황색점선)구역,127.0617003,37.5329119
자양동,도로 모퉁이,127.0716201,37.5358917
자양동,건널목,127.0809551,37.5331174
자양동,교통소통장애,127.0766954,37.5317236
자양동,소화전,127.0855433,37.5317113
자양동,교통소통장애,127.0711533,37.5425107
자양동,교통소통장애,127.0643575,37.5402945
자양동,교통소통장애,127.0746824,37.535303
자양동,교통소통장애,127.0743115,37.5341918
자양동,교통소통장애,127.0743115,37.5341918
자양동,교통소통장애,127.0745829,37.5342029
자양동,교통소통장애,127.0743115,37.5341918
