단속동,위반내용,경도,위도
중곡동,교통소통장애,127.0919788,37.5570984
중곡동,교통소통장애,127.094312,37.5569632
중곡동,도로 모퉁이,127.0939573,37.5563477
중곡동,교통소통장애,127.093796,37.5565808
중곡동,교통소통장애,127.094312,37.5569632
중곡동,교통소통장애,127.093246,37.5561981
중곡동,교통소통장애,127.092097,37.5557568
중곡동,교통소통장애,127.0923913,37.55575
중곡동,교통소통장애,127.0920726,37.5568288
중곡동,교통소통장애,127.094312,37.5569632
중곡동,교통소통장애,127.0845033,37.5695742
중곡동,교통소통장애,127.0920726,37.5568288
중곡동,도로 모퉁이,127.0874294,37.5691193
중곡동,보도,127.0841746,37.5557406
중곡동,보도,127.0839475,37.555802
중곡동,버스정류소,127.0872308,37.5612787
중곡동,교통소통장애,127.0872308,37.5612787
중곡동,교통소통장애,127.0826246,37.5686136
중곡동,보도,127.083443,37.5701877
중곡동,교통소통장애,127.0849811,37.5573508
중곡동,교통소통장애,127.0788428,37.5585825
중곡동,보도,127.0766299,37.5645572
중곡동,보도,127.0766299,37.5645572
중곡동,교통소통장애,127.0824694,37.568351
중곡동,교통소통장애,127.0822779,37.5627361
중곡동,교통소통장애,127.0822779,37.5627361
중곡동,버스정류소,127.0910716,37.5563075
중곡동,교통소통장애,127.0920726,37.5568288
중곡동,보도,127.0874711,37.5619924
중곡동,교통소통장애,127.0879663,37.5575811
중곡동,주차금지(황색점선)구역,127.092097,37.5557568
중곡동,교통소통장애,127.094312,37.5569632
중곡동,교통소통장애,127.0843222,37.5686448
중곡동,보도,127.0880748,37.5635378
중곡동,보도,127.0819327,37.5668872
중곡동,보도,127.0819325,37.5668962
중곡동,교통소통장애,127.0878606,37.5597518
중곡동,도로 모퉁이,127.0878744,37.5595447
중곡동,교통소통장애,127.0925948,37.5576348
중곡동,도로 모퉁이,127.0935007,37.5575967
중곡동,교통소통장애,127.0842109,37.5694188
중곡동,교통소통장애,127.0906353,37.5540245
중곡동,교통소통장애,127.0893703,37.5566098
중곡동,주차금지(황색점선)구역,127.0872308,37.5612787
중곡동,도로 모퉁이,127.0882307,37.5591059
중곡동,교통소통장애,127.0809304,37.5627796
중곡동,교통소통장애,127.0766299,37.5645572
중곡동,보도,127.0742077,37.56088
