단속동,위반내용,경도,위도
화양동,교통소통장애,127.0696965,37.5459142
화양동,교통소통장애,127.0673104,37.542147
화양동,교통소통장애,127.0665682,37.5435918
화양동,교통소통장애,127.0701709,37.5405207
화양동,교통소통장애,127.0701709,37.5405207
화양동,교통소통장애,127.0750523,37.546578
화양동,교통소통장애,127.0807539,37.5402882
화양동,교통소통장애,127.0807539,37.5402882
화양동,교통소통장애,127.068137,37.5439196
화양동,교통소통장애,127.068137,37.5439196
화양동,교통소통장애,127.0722458,37.5474931
화양동,교통소통장애,127.0722458,37.5474931
화양동,교통소통장애,127.0725406,37.5474503
화양동,교통소통장애,127.0704155,37.5436042
화양동,도로 모퉁이,127.0719644,37.5455446
화양동,주차금지(황색점선)구역,127.0685582,37.5446347
화양동,주차금지(황색점선)구역,127.0690481,37.5461884
화양동,주정차금지(황색실선)구역,127.0713553,37.5435575
화양동,교통소통장애,127.0708207,37.5474278
화양동,교통소통장애,127.0708207,37.5474278
화양동,교통소통장애,127.0708207,37.5474278
화양동,교통소통장애,127.0708207,37.5474278
화양동,교통소통장애,127.0708207,37.5474278
화양동,교통소통장애,127.0708207,37.5474278
화양동,보도,127.0708207,37.5474278
화양동,교통소통장애,127.0715132,37.547253
화양동,교통소통장애,127.0715132,37.547253
화양동,도로 모퉁이,127.0708207,37.5474278
화양동,교통소통장애,127.0730999,37.5470583
화양동,교통소통장애,127.0676281,37.5420774
화양동,보도,127.0712917,37.5477739
화양동,도로 모퉁이,127.0709885,37.543023
화양동,도로 모퉁이,127.0690782,37.5410347
화양동,도로 모퉁이,127.0676441,37.5416991
화양동,소화전,127.0695102,37.5463362
화양동,교통소통장애,127.0720974,37.5448608
화양동,교통소통장애,127.0720974,37.5448608
화양동,주차금지(황색점선)구역,127.0720974,37.5448608
화양동,교통소통장애,127.0720974,37.5448608
화양동,주차금지(황색점선)구역,127.0720974,37.5448608
화양동,교통소통장애,127.0720974,37.5448608
화양동,도로 모퉁이,127.0663088,37.5453378
화양동,교통소통장애,127.0717733,37.545444
화양동,교통소통장애,127.0745497,37.5478716
화양동,교통소통장애,127.0730999,37.5470583
화양동,교통소통장애,127.072392,37.5475663
화양동,교통소통장애,127.072065,37.5474736
화양동,교통소통장애,127.072392,37.5475663
화양동,교통소통장애,127.0689155,37.5422858
화양동,교통소통장애,127.0689483,37.5423852
화양동,교통소통장애,127.0656533,37.5443595
화양동,교통소통장애,127.0656533,37.5443595
화양동,교통소통장애,127.0681146,37.5439014
화양동,교통소통장애,127.0673304,37.5441745
화양동,교통소통장애,127.071866,37.5443544
화양동,교통소통장애,127.0708207,37.5474278
화양동,교통소통장애,127.071739,37.5472908
화양동,교통소통장애,127.071739,37.5472908
화양동,교통소통장애,127.071739,37.5472908
화양동,교통소통장애,127.071504,37.5470818
화양동,교통소통장애,127.0709578,37.5473207
화양동,교통소통장애,127.0656995,37.5442878
화양동,교통소통장애,127.0686997,37.5423562
화양동,교통소통장애,127.0738721,37.545929
화양동,교통소통장애,127.0738721,37.545929
화양동,교통소통장애,127.0738721,37.545929
화양동,교통소통장애,127.0741346,37.5457508
화양동,교통소통장애,127.0738721,37.545929
화양동,교통소통장애,127.0738721,37.545929
화양동,교통소통장애,127.0677617,37.5440698
화양동,도로 모퉁이,127.075082,37.5460106
화양동,주차금지(황색점선)구역,127.0697638,37.5404994
화양동,주정차금지(황색실선)구역,127.0746476,37.5463586
화양동,도로 모퉁이,127.0746499,37.5461784
화양동,교통소통장애,127.067087,37.542821
화양동,교통소통장애,127.0689533,37.5410697
화양동,교통소통장애,127.0652498,37.5422389
화양동,교통소통장애,127.0704054,37.5425949
화양동,교통소통장애,127.0722199,37.5468441
화양동,교통소통장애,127.0717433,37.5469485
화양동,도로 모퉁이,127.0735776,37.5468638
화양동,교통소통장애,127.0730999,37.5470583
화양동,교통소통장애,127.0697697,37.540932
화양동,교통소통장애,127.0715647,37.5467488
화양동,교통소통장애,127.068137,37.5439196
화양동,도로 모퉁이,127.0676589,37.5459702
화양동,도로 모퉁이,127.0673304,37.5441745
화양동,도로 모퉁이,127.0673304,37.5441745
화양동,교통소통장애,127.0750523,37.546578
화양동,소화전,127.0719012,37.5451657
화양동,교통소통장애,127.0676396,37.5438796
화양동,도로 모퉁이,127.0673425,37.5450216
화양동,교통소통장애,127.0681146,37.5439014
화양동,교통소통장애,127.0660334,37.5420108
화양동,교통소통장애,127.071866,37.5443544
화양동,교통소통장애,127.0686997,37.5423562
화양동,교통소통장애,127.0681146,37.5439014
화양동,교통소통장애,127.0711542,37.5469979
화양동,교통소통장애,127.0721761,37.5467266
화양동,교통소통장애,127.0721761,37.5467266
화양동,도로 모퉁이,127.0721761,37.5467266
화양동,교통소통장애,127.0717433,37.5469485
화양동,교통소통장애,127.0717433,37.5469485
화양동,교통소통장애,127.0717433,37.5469485
화양동,교통소통장애,127.072065,37.5474736
화양동,교통소통장애,127.0704054,37.5425949
화양동,교통소통장애,127.071895,37.5438411
화양동,교통소통장애,127.0738721,37.545929
화양동,교통소통장애,127.0734081,37.5459344
화양동,교통소통장애,127.0738721,37.545929
화양동,교통소통장애,127.0673104,37.542147
화양동,도로 모퉁이,127.068624,37.5475276
화양동,교통소통장애,127.0646823,37.5423695
화양동,교통소통장애,127.071739,37.5472908
화양동,교통소통장애,127.071739,37.5472908
화양동,교통소통장애,127.071739,37.5472908
화양동,교통소통장애,127.071739,37.5472908
화양동,교통소통장애,127.071739,37.5472908
화양동,교통소통장애,127.071739,37.5472908
화양동,교통소통장애,127.0717433,37.5469485
화양동,교통소통장애,127.0705746,37.5408122
화양동,교통소통장애,127.0646823,37.5423695
화양동,주정차금지(황색실선)구역,127.0646823,37.5423695
화양동,교통소통장애,127.0646823,37.5423695
화양동,주차방법위반,127.0713553,37.5435575
화양동,교통소통장애,127.0704401,37.5443612
화양동,교통소통장애,127.0704401,37.5443612
화양동,교통소통장애,127.0704401,37.5443612
화양동,교통소통장애,127.0652498,37.5422389
화양동,교통소통장애,127.0652498,37.5422389
화양동,보도,127.0698648,37.5478528
화양동,보도,127.0698648,37.5478528
화양동,이중주차,127.0692177,37.5461988
