단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2023-01-01 0:25,32000,자양강변길,740,횡단보도,미견인
2023-01-01 3:36,32000,자양동,서울특별시 광진구 자양로 61,보도,미견인
2023-01-01 3:38,40000,자양동,서울특별시 광진구 자양로 61,보도,미견인
2023-01-01 7:10,40000,구의동,강변역 4번 출구,주차금지(황색점선)구역,미견인
2023-01-01 7:12,40000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2023-01-01 7:37,40000,중곡동,440,버스정류소,미견인
2023-01-01 8:47,40000,구의동,강변역 4번 출구,주정차금지(황색실선)구역,미견인
2023-01-01 9:02,32000,광장동,328-2,버스정류소,미견인
2023-01-01 9:04,32000,광장동,328-2,버스정류소,미견인
2023-01-01 9:33,32000,구의동,서울특별시 광진구 아차산로55길 11,횡단보도,미견인
2023-01-01 10:11,10000,중곡동,263-1,보도,미견인
2023-01-01 10:12,40000,구의동,동서울터미널 주차장 앞,교통소통장애,미견인
2023-01-01 10:14,40000,자양동,서울특별시 광진구 자양로13길 98,횡단보도,미견인
2023-01-01 10:15,32000,능동,256-16,보도,미견인
2023-01-01 10:19,32000,능동,256-16,보도,미견인
2023-01-01 10:45,32000,자양동,건대역약국 앞,주차금지(황색점선)구역,미견인
2023-01-01 10:47,40000,중곡동,266-5,보도,미견인
2023-01-01 11:21,40000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인
2023-01-01 11:21,32000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인
2023-01-01 11:25,40000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인
2023-01-01 11:30,32000,자양동,서울특별시 광진구 뚝섬로31길 5,보도,미견인
2023-01-01 12:55,32000,중곡동,150-103,보도,미견인
2023-01-01 13:44,32000,구의동,223-10,보도,미견인
2023-01-01 15:09,32000,구의동,631-4,버스정류소,미견인
2023-01-01 16:17,32000,군자동,서울특별시 광진구 능동로 243-1,보도,미견인
2023-01-01 16:19,32000,중곡동,639-32,보도,미견인
2023-01-01 16:19,40000,중곡동,639-7,보도,미견인
2023-01-01 16:25,40000,구의동,동서울터미널 주차장 앞,주정차금지(황색실선)구역,미견인
2023-01-01 16:47,32000,구의동,지너스타워 주차장 앞,교통소통장애,미견인
2023-01-01 17:31,64000,광장동,453-7,특별구역,미견인
