단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2023-01-01 3:36,32000,자양동,서울특별시 광진구 자양로 61,보도,미견인
2023-01-01 3:38,40000,자양동,서울특별시 광진구 자양로 61,보도,미견인
2023-01-01 9:33,32000,구의동,서울특별시 광진구 아차산로55길 11,횡단보도,미견인
2023-01-01 10:14,40000,자양동,서울특별시 광진구 자양로13길 98,횡단보도,미견인
2023-01-01 11:21,40000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인
2023-01-01 11:21,32000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인
2023-01-01 11:25,40000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인
2023-01-01 11:30,32000,자양동,서울특별시 광진구 뚝섬로31길 5,보도,미견인
2023-01-01 16:17,32000,군자동,서울특별시 광진구 능동로 243-1,보도,미견인
2023-01-01 19:11,32000,중곡동,서울특별시 광진구 면목로 120,보도,미견인
2023-01-01 19:16,32000,중곡동,서울특별시 광진구 긴고랑로 15,버스정류소,미견인
2023-01-01 19:22,40000,중곡동,서울특별시 광진구 긴고랑로 11-2,보도,미견인
2023-01-01 19:29,32000,중곡동,서울특별시 광진구 면목로 112,보도,미견인
2023-01-01 19:32,40000,중곡동,서울특별시 광진구 긴고랑로 32,횡단보도,미견인
2023-01-01 19:41,32000,구의동,서울특별시 광진구 자양로 275,보도,미견인
2023-01-01 19:43,32000,중곡동,서울특별시 광진구 능동로 415,버스정류소,미견인
2023-01-01 19:57,40000,중곡동,서울특별시 광진구 긴고랑로 90,횡단보도,미견인
2023-01-01 20:04,40000,중곡동,서울특별시 광진구 용마산로 85,보도,미견인
2023-01-01 20:09,40000,중곡동,서울특별시 광진구 용마산로 101,보도,미견인
2023-01-01 20:11,40000,중곡동,서울특별시 광진구 용마산로 103,보도,미견인
2023-01-01 20:49,40000,구의동,서울특별시 광진구 자양로 324,보도,미견인
2023-01-01 22:47,32000,자양동,서울특별시 광진구 뚝섬로 513,보도,미견인
2023-01-02 6:31,32000,자양동,서울특별시 광진구 뚝섬로31가길 1,보도,미견인
2023-01-02 8:29,32000,구의동,서울 광진구 구의동 15-1,교통소통장애,미견인
2023-01-02 8:30,40000,구의동,서울 광진구 구의동 15-1,교통소통장애,미견인
2023-01-02 8:58,32000,자양동,서울 광진구 자양동 23-3,교통소통장애,미견인
