단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2022-03-10 17:19,40000,능동,서울 광진구 능동 153,교통소통장애,미견인
2022-03-10 17:20,40000,능동,서울 광진구 능동 153,교통소통장애,미견인
2022-03-10 17:21,40000,능동,서울특별시 광진구 천호대로112길 71,교통소통장애,미견인
2022-03-10 17:25,40000,군자동,서울 광진구 군자동 98-6,보도,견인처리
2022-03-10 18:06,40000,능동,서울특별시 광진구 천호대로 644,보도,미견인
2022-03-10 18:35,40000,구의동,동서울터미널 ,주차금지(황색점선)구역,미견인
2022-03-10 19:11,40000,구의동,서울특별시 광진구 아차산로 431,교통소통장애,미견인
2022-03-10 19:12,40000,구의동,서울특별시 광진구 아차산로 431,교통소통장애,미견인
2022-03-10 19:13,40000,구의동,서울특별시 광진구 아차산로 431,교통소통장애,미견인
2022-03-10 19:18,40000,중곡동,서울특별시 광진구 긴고랑로 136,버스정류소,견인처리
2022-03-10 19:45,40000,능동,서울특별시 광진구 천호대로 556 (능동),보도,견인처리
2022-03-10 19:47,40000,구의동,서울특별시 광진구 자양로44길 49,도로 모퉁이,미견인
2022-03-10 19:47,40000,화양동,서울특별시 광진구 군자로 27,교통소통장애,미견인
2022-03-10 19:48,40000,화양동,서울특별시 광진구 군자로 27,교통소통장애,미견인
2022-03-10 20:01,40000,중곡동,서울 광진구 중곡동 277-5,보도,미견인
2022-03-10 20:06,40000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-03-10 20:08,10000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-03-10 20:11,40000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-03-10 20:27,40000,중곡동,서울특별시 광진구 면목로 194,횡단보도,미견인
2022-03-10 20:34,40000,중곡동,서울특별시 광진구 긴고랑로 71,버스정류소,미견인
2022-03-10 20:43,40000,자양동,서울특별시 광진구 아차산로 345,도로 모퉁이,미견인
2022-03-10 20:54,40000,자양동,서울 광진구 자양동 739,교통소통장애,미견인
2022-03-10 22:39,40000,중곡동,서울 광진구 중곡동 440,도로 모퉁이,미견인
2022-03-10 22:44,40000,중곡동,서울특별시 광진구 영화사로 37-1,버스정류소,미견인
2022-03-10 23:23,40000,화양동,서울특별시 광진구 동일로24길 56,도로 모퉁이,미견인
2022-03-10 23:25,40000,화양동,서울 광진구 화양동 46-3,도로 모퉁이,미견인
2022-03-11 6:21,40000,구의동,서울 광진구 구의동 218-25,도로 모퉁이,미견인
2022-03-11 7:44,40000,자양동,서울 광진구 자양동 742,도로 모퉁이,미견인
2022-03-11 8:32,120000,구의동,서울특별시 광진구 광나루로 545,보도,견인처리
2022-03-11 8:38,120000,자양동,서울특별시 광진구 자양로5길 30,교통소통장애,견인처리
2022-03-11 8:42,40000,중곡동,서울 광진구 중곡동 150-103,교통소통장애,견인처리
2022-03-11 8:54,40000,자양동,서울 광진구 자양동 711,교통소통장애,견인처리
2022-03-11 8:56,40000,군자동,서울 광진구 군자동 480,보도,미견인
2022-03-11 9:02,40000,구의동,동서울터미널 ,주차금지(황색점선)구역,미견인
2022-03-11 10:00,40000,자양동,서울 광진구 자양동 4-1,도로 모퉁이,미견인
2022-03-11 10:01,40000,자양동,서울 광진구 자양동 2-63,도로 모퉁이,미견인
2022-03-11 10:27,40000,광장동,서울 광진구 광장동 550-4,교통소통장애,미견인
2022-03-11 11:25,50000,자양동,서울 광진구 자양동 710-1,보도,미견인
2022-03-11 11:29,40000,중곡동,서울 광진구 중곡동 669,보도,미견인
2022-03-11 13:24,40000,광장동,서울 광진구 광장동 104,교통소통장애,미견인
2022-03-11 13:25,40000,광장동,서울 광진구 광장동 104,교통소통장애,미견인
2022-03-11 13:30,40000,광장동,서울 광진구 광장동 323-5,교통소통장애,미견인
2022-03-11 14:03,40000,구의동,서울특별시 광진구 아차산로 431,교통소통장애,미견인
2022-03-11 14:25,40000,화양동,서울특별시 광진구 능동로13길 11,교통소통장애,미견인
2022-03-11 16:00,40000,중곡동,서울특별시 광진구 천호대로123길 70,교통소통장애,미견인
2022-03-11 16:28,40000,중곡동,서울 광진구 중곡동 273-1,교통소통장애,미견인
2022-03-11 16:29,40000,중곡동,서울 광진구 중곡동 273-1,교통소통장애,미견인
2022-03-11 17:11,40000,군자동,서울 광진구 군자동 98-2,보도,미견인
2022-03-11 17:18,40000,자양동,서울특별시 광진구 아차산로 345,교통소통장애,미견인
2022-03-11 17:19,40000,자양동,서울특별시 광진구 아차산로 345,교통소통장애,미견인
2022-03-11 17:33,40000,구의동,동서울터미널 ,주정차금지(황색실선)구역,미견인
2022-03-11 18:02,40000,능동,서울특별시 광진구 천호대로 644,보도,미견인
2022-03-11 19:23,40000,구의동,동서울터미널 ,주차금지(황색점선)구역,미견인
2022-03-11 19:28,40000,화양동,서울특별시 광진구 아차산로 241,교통소통장애,미견인
2022-03-11 19:33,40000,구의동,서울특별시 광진구 아차산로55길 11,교통소통장애,견인처리
2022-03-11 19:35,40000,화양동,서울 광진구 화양동 46-22,교통소통장애,미견인
2022-03-11 19:37,40000,구의동,서울특별시 광진구 아차산로 431,교통소통장애,미견인
2022-03-11 19:38,40000,구의동,서울특별시 광진구 아차산로 431,교통소통장애,미견인
2022-03-11 19:38,40000,구의동,서울특별시 광진구 아차산로 431,교통소통장애,미견인
2022-03-11 19:39,40000,구의동,서울특별시 광진구 아차산로 431,교통소통장애,미견인
2022-03-11 19:39,40000,구의동,서울특별시 광진구 아차산로 431,교통소통장애,미견인
2022-03-11 19:39,40000,구의동,서울특별시 광진구 아차산로 431,교통소통장애,미견인
2022-03-11 19:40,40000,구의동,서울특별시 광진구 아차산로 431,교통소통장애,미견인
2022-03-11 19:42,40000,중곡동,서울 광진구 중곡동 264-1,보도,미견인
2022-03-11 19:45,40000,자양동,서울특별시 광진구 동일로18길 11,도로 모퉁이,견인처리
2022-03-11 19:52,40000,능동,서울특별시 광진구 천호대로 556,보도,미견인
2022-03-11 19:56,40000,구의동,동서울터미널 ,주차금지(황색점선)구역,미견인
2022-03-11 20:01,40000,군자동,서울특별시 광진구 광나루로17길 10,보도,미견인
2022-03-11 20:01,40000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-03-11 20:03,40000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-03-11 20:06,50000,중곡동,서울특별시 광진구 긴고랑로 48,버스정류소,미견인
2022-03-11 20:09,40000,군자동,서울특별시 광진구 군자로 179-2,교통소통장애,미견인
2022-03-11 20:23,40000,중곡동,서울특별시 광진구 능동로44길 29,교통소통장애,미견인
2022-03-11 20:24,40000,화양동,서울특별시 광진구 동일로26길 58,교통소통장애,미견인
2022-03-11 20:24,40000,화양동,서울특별시 광진구 동일로26길 54,교통소통장애,미견인
