연번,사업장명,소재지지번주소,소재지도로명주소,데이터기준일자
1,역마차커피숍,인천광역시 중구 참외전로 131-6 (인현동),인천광역시 중구 인현동 1 ,2022-08-12
2,카페미투,"인천광역시 중구 월미문화로 39, 1,2~옥상층 (북성동1가)",인천광역시 중구 북성동1가 98-339 ,2022-08-12
3,커피올레,"인천광역시 중구 연안부두로 16, 227호 (항동7가, 해양센타)",인천광역시 중구 항동7가 60 227호 ,2022-08-12
4,동인천커피숍,"인천광역시 중구 큰우물로 29 (인현동, 2층)",인천광역시 중구 인현동 22-36 2층 ,2022-08-12
5,스타벅스인천공항랜드점,"인천광역시 중구 공항로 272, 일반동 지하1층 (운서동, 인천국제공항여객터미널)",인천광역시 중구 운서동 2851 여객터미널 지하1층 2-40-02구역 ,2022-08-12
6,카페 잔피,"인천광역시 중구 송학로 13-1, 2층 (송학동2가)",인천광역시 중구 송학동2가 1-3 ,2022-08-12
7,카페오라,"인천광역시 중구 용유서로 380 (을왕동, 지하1층,지상1층)","인천광역시 중구 을왕동 773-61 지하1층,지상1층 ",2022-08-12
8,까로치아,"인천광역시 중구 공항로 272 (운서동, 화물터미널C 운송대리점 1층)",인천광역시 중구 운서동 2851 화물터미널C 운송대리점 1층 ,2022-08-12
9,인천브릿지 커피,"인천광역시 중구 인천대교고속도로 3, 1층 (운남동, 인천대교기념관)",인천광역시 중구 운남동 1113-70 외8필지 인천대교기념관 1층 ,2022-08-12
10,담쟁이넝쿨,"인천광역시 중구 자유공원남로 12 (송학동1가, 9번지 3층)",인천광역시 중구 송학동1가 9 3층 ,2022-08-12
11,탐앤탐스,"인천광역시 중구 내동 101 ,101-2 번지(1, 2층) ","인천광역시 중구 내동 101 ,101-2 번지(1, 2층) ",2022-08-12
12,영종도 박양우 커피집(Yeongjongdo Park's coffee House),"인천광역시 중구 운서로 3, 1층 (운서동)",인천광역시 중구 운서동 3060-31 1층 ,2022-08-12
13,이디야,"인천광역시 중구 인중로 134 (신생동, 이마트2층)",인천광역시 중구 신생동 38 이마트2층 ,2022-08-12
14,파스쿠찌(신포로데오점),"인천광역시 중구 개항로 29-1 (내동, 1층,2층)","인천광역시 중구 내동 98-4 1,2층 ",2022-08-12
15,케빈커피숍,"인천광역시 중구 차이나타운로 33, 101호 (북성동3가)",인천광역시 중구 북성동3가 3-36 101호 ,2022-08-12
16,아미가,"인천광역시 중구 송학로 11-1, 1층 (송학동2가)",인천광역시 중구 송학동2가 1-9 ,2022-08-12
17,웨이루 쿼쿠이 인천차이나타운점,"인천광역시 중구 차이나타운로44번길 7, 지하1층 (북성동2가)",인천광역시 중구 북성동2가 10-6 외1필지 지하1층 ,2022-08-12
18,띠아모 경동점,인천광역시 중구 개항로 63-1 (경동),인천광역시 중구 경동 239-13 외 1필지(1층) ,2022-08-12
19,카페엔느,"인천광역시 중구 연안부두로 36 (항동7가, 외1필지 연안부두해양광장(2층))",인천광역시 중구 항동7가 58-1 외1필지 연안부두해양광장(2층) ,2022-08-12
20,커피스카이존(coffee sky zone),인천광역시 중구 운서동 2165-160 화물터미널B 114-1 ,인천광역시 중구 운서동 2165-160 화물터미널B 114-1 ,2022-08-12
21,애니 데이,"인천광역시 중구 참외전로 190 (율목동, 1층)",인천광역시 중구 율목동 1-33 1층 ,2022-08-12
22,베네 동인천역점,"인천광역시 중구 우현로 79-3 (인현동, 지하1층, 지상1,2층)","인천광역시 중구 인현동 29-28 외 1필지(지하1층, 지상1,2층) ",2022-08-12
23,커피생각,"인천광역시 중구 큰우물로 1, 1층 (경동)",인천광역시 중구 경동 214-3 1층 ,2022-08-12
24,카페팟알,"인천광역시 중구 신포로27번길 96-2 (관동1가, 1층)",인천광역시 중구 관동1가 17 1층 ,2022-08-12
25,더벤티(the venti),"인천광역시 중구 공항동로193번길 116, 112호 (운서동, 대한항공운송대리점)",인천광역시 중구 운서동 2851-20 운송대리점 112호 ,2022-08-12
26,올렌스,"인천광역시 중구 제물량로166번길 38 (내동, 1층,2층)","인천광역시 중구 내동 215-10 1층,2층 ",2022-08-12
27,공익까페파구스,"인천광역시 중구 개항로53번길 21 (내동, 1층)",인천광역시 중구 내동 166 ,2022-08-12
28,빨강지붕,인천광역시 중구 용유서로525번길 4-1 (을왕동),인천광역시 중구 을왕동 912-22 ,2022-08-12
29,커피포트,"인천광역시 중구 공항로424번길 47, 1층 (운서동, 인천국제공항공사)",인천광역시 중구 운서동 2850 ,2022-08-12
30,싸리재,"인천광역시 중구 개항로 89-1 (경동, 1층,2층)","인천광역시 중구 경동 169 1층,2층 ",2022-08-12
31,이디야커피(동인천점),"인천광역시 중구 우현로 71-1 (인현동, 1층)",인천광역시 중구 인현동 58-1 1층 ,2022-08-12
32,동화마을(cafe),인천광역시 중구 동화마을길 27-11 (송월동3가),인천광역시 중구 송월동3가 11-80 1층 ,2022-08-12
33,이디야 인천차이나타운점,"인천광역시 중구 차이나타운로44번길 25 (북성동2가, 1층)",인천광역시 중구 북성동2가 11-6 1층 ,2022-08-12
34,이디야커피 인천운서점,"인천광역시 중구 운서3로 1, 1층 102,103호 (운서동)","인천광역시 중구 운서동 2888-5 102,1호",2022-08-12
35,이디야,인천광역시 중구 운중로 45 (운남동),인천광역시 중구 운남동 123-1 ,2022-08-12
36,투썸플레이스인천영종도점,"인천광역시 중구 하늘별빛로 71, 102,103,201호 (중산동, 타임프라자)","인천광역시 중구 중산동 1882-12 타임프라자 102,103,201호 ",2022-08-12
37,우리동네,"인천광역시 중구 연안부두로33번길 13 (항동7가, 1층)",인천광역시 중구 항동7가 27-119 1층 ,2022-08-12
38,카페오즈,"인천광역시 중구 동화마을길 21-19 (송월동3가, 1층2층3층)","인천광역시 중구 송월동3가 11-93 1층,2층3층 ",2022-08-12
39,갤러리카페59,"인천광역시 중구 송학로 59 (송학동2가, 2층)",인천광역시 중구 송학동2가 6-1 2층 ,2022-08-12
40,콜라보,"인천광역시 중구 신도시남로149번길 1, 3층 303호 (운서동, 다모아프라자)",인천광역시 중구 운서동 2798-4 다모아프라자 303호 ,2022-08-12
41,추억의 박물관,"인천광역시 중구 월미문화로 95 (북성동1가, 문타운 112호)",인천광역시 중구 북성동1가 98-577 문타운 112호 ,2022-08-12
42,크리스피크림인천공항1층점,"인천광역시 중구 공항로 272, 일반동 1층 (운서동, 인천국제공항여객터미널)",인천광역시 중구 운서동 2851 인천공항여객터미널1층 FB-P3-79 ,2022-08-12
